COD_ORACLE;UBICACION ;TIPO;DESCRIPCION ;COD_ACTIVO ;ESTADO;FABRICANTE;PAIS_ORIGEN ;AÑO_FABRICACION ;MODELO;SERIE;PESO;VOLTAJE (V);POTENCIA (KW);CONSUMO (KW);CONEXION
NA-007;GINEBRA;SELLADORA;SELLADORA DE CAJAS;----;ACTIVO ;COMARME MARCHETTI F.A;ITALIA;2008;GEM 350;AC029793;152;----;----;----;----
NA-001;GINEBRA;SEPARADORA;SEPARADORA DE TAPAS;121229;ACTIVO ;----;----;----;----;----;----;----;----;----;----
NA-002;GINEBRA;TROMBEL;TROLBEL #4;122312;ACTIVO ;----;----;----;----;----;----;----;----;----;----
NA-003;GINEBRA;TROMBEL;TROLBEL #3;120569;ACTIVO ;----;----;----;----;----;----;----;----;----;----
NA-004;GINEBRA;TROMBEL;TROMBEL #1 Y #2;120088;ACTIVO ;----;----;----;----;----;----;----;----;----;----
NA-005;GINEBRA;MANDRIL;MANDRIL;121571;ACTIVO ;----;----;----;----;----;----;----;----;----;----
NA-006;GINEBRA;ESMERIL;ESMERIL;120810;ACTIVO ;----;----;----;----;----;----;----;----;----;----
MQ35101;GINEBRA;TORNO;TORNO ROMI 3;122513;ACTIVO ;ROMI;BRAZIL;2017;C420;016-019996-448;2800;----;----;----;----
MQ35102;GINEBRA;FRESADORA;FIRST FRESADORA;122668;ACTIVO ;FIRST;CHINA;2015;LC-186VN-B;40904479;1300;----;----;----;----
NA-008;GINEBRA;SIERRA;SIERRA ELECTRICA;121220;ACTIVO ;IMOCOM;COLOMBIA;----;----;----;----;----;----;----;----
MQ35021;GINEBRA;RECTIFICADORA;RECTIFICADORA KENT;121654;ACTIVO ;HERRATEC S.A.;COLOMBIA;----;----;----;----;----;----;----;----
MQ15610;GINEBRA;MOLINO;MOLINO OPTIMA;122301;ACTIVO;----;----;----;----;----;----;440;----;----;TRAFO #1 DE 1000KVASUB ESTACIÓN #1
MQ35094;GINEBRA;MOLINO;MOLINO SEIBT;120957;ACTIVO;SEIBT;----;----;----;----;----;440;----;----;TRAFO #1 DE 1000KVASUB ESTACIÓN #1
NA-009;GINEBRA;ELECTROEROSIONADORA;ELECTROEROSIONADORA NT250;122009;ACTIVO ;----;----;----;D-7125;1501043;1000;----;----;----;----
MQ35200;CARTON;FORMADO DE VASOS;PAPER CUP FORMING MACHINE;138260;ACTIVO;ACEPACK CO., LTD.;COREA;----;EAGLE-1800;9.36E+13;8500;220;----;----;Transformado secundario 440v a 220v  (Serie 24104848)
MQ35205;CARTON;FORMADO DE VASOS;PAPER CUP FORMING MACHINE;123041;ACTIVO;ACEPACK CO., LTD.;COREA;----;EAGLE-1800;9.50E+13;8500;220;----;----;Transformado secundario 440v a 220v  (Serie 24104848)
MQ35238;CARTON;FORMADORA DE TAPAS DE PAPEL 1;PAPER LID MACHINE;122089;ACTIVO;WENZHOU OICHEN INDUSTRY&TRADE;CHINA;2022;PL-145;QC22WY0106-02;2700;220;----;----;Transformado secundario 440v a 220v  (Serie 24104848)
MQ35239;CARTON;FORMADORA DE TAPAS DE PAPEL 2;PAPER LID MACHINE;21095;ACTIVO;WENZHOU QICHEN INDUSTRY&TRADE;CHINA;2022;PL-145;QC22WY0106-01;2700;220;----;----;Transformado secundario 440v a 220v  (Serie 24104848)
MQ35056;CARTON;DESCARTONADORA;STRIPPING MACHINE;122591;ACTIVO;WENZHOU QIANDING PRITING MACHINERY;CHINA;2021;QDQF-1080R;20714;----;220;----;----;Transformado secundario 440v a 220v  (Serie 24104848)
MQ35210;CARTON;PUNZONADORA DE FONDOS DE VASOS;PAPER PUNCHING MACHINE;121823;ACTIVO;TONG SHIN PACK;COREA;42999;TSPC-1000;WS20170921 - Col - 1;----;220;----;----;Transformado secundario 440v a 220v  (Serie 24104848)
MQ35211;CARTON;PUNZONADORA DE FONDOS DE VASOS;PAPER PUNCHING MACHINE;120410;ACTIVO;TONG SHIN PACK;COREA;44924;TSPC-1000;WS20221229 - Col - 3;----;220;----;----;Transformado secundario 440v a 220v  (Serie 24104848)
MQ35320;CARTON;FORMADO DE VASOS;HIGH SPEED INTELLIGENT  PAPER CUP MACHINE;119900;ACTIVO;NewTop;CHINA;2023;DEBAO-138S;1188220340-33;3400;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ35297;CARTON;FORMADO DE VASOS;HIGH SPEED INTELLIGENT  PAPER CUP MACHINE;119852;ACTIVO;NewTop;CHINA;2022;DEBAO-138S;118S210520-15;3400;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ35296;CARTON;FORMADO DE VASOS;HIGH SPEED INTELLIGENT  PAPER CUP MACHINE;120102;ACTIVO;NewTop;CHINA;2022;DEBAO-138S;118S210520-16;3400;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
